6 9 66 63 45 0 0 5 0 0 6 10 1.6666666666666667 1 0.0 0 0 0 0 1 0 0
14 30 44 37 44 19 7 7 0 0 30 37 1.2333333333333334 2 3701.839 0 0 0 0 0 1 0
1 4 0 0 2 2 0 4 0 0 4 6 1.5 0 249.007 0 0 0 0 0 1 0
14 29 76 86 113 103 60 12 0 0 16 27 1.6875 2 15849.601 0 0 1 0 0 0 0
4 8 10 8 8 188 133 4 8 5 0 0 0.0 0 0.0 0 0 0 0 0 0 1
14 30 155 156 171 11 1 12 111 0 16 61 3.8125 4 8859.61 0 1 0 0 0 0 0
5 5 23 11 7 0 0 5 0 0 0 0 0.0 0 160.514 0 0 0 0 0 0 0
14 30 9 10 17 132 43 7 0 0 30 44 1.4666666666666666 1 12485.066 0 0 0 0 0 0 0
9 25 1 2 2 0 0 4 0 0 17 20 1.1764705882352942 1 0.0 0 0 0 0 0 0 1
4 8 1 0 1 22 7 6 0 0 0 0 0.0 0 0.0 0 0 0 1 0 0 0
6 6 40 20 12 3 2 3 0 0 3 5 1.6666666666666667 2 413.977 1 0 0 0 0 0 0
4 6 0 0 0 84 58 16 0 0 5 5 1.0 1 0.0 0 0 0 1 0 0 0
14 30 111 115 127 2125 85 6 171 0 30 47 1.5666666666666669 4 4062.369 1 0 0 0 0 0 0
9 11 44 31 18 12 0 16 504 1 7 15 2.142857142857143 7 0.0 0 1 0 0 0 0 0
14 30 146 129 144 0 0 12 0 0 28 38 1.3571428571428572 4 16704.698 1 0 0 0 0 0 0
11 23 8 20 26 2 0 5 0 0 5 6 1.2 1 0.0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 31 0 0 0 0 0.0 0 0.0 0 1 0 0 0 0 0
1 1 0 0 0 0 0 7 0 0 0 0 0.0 0 0.0 0 0 0 1 0 0 0
14 30 67 51 49 226 90 16 3390 29 28 96 3.4285714285714284 0 24040.701 0 0 0 1 0 0 0
14 28 26 24 48 5 3 12 0 0 7 11 1.5714285714285714 0 20857.685 0 0 0 0 1 0 0
13 27 2 10 14 6 0 13 0 0 28 96 3.4285714285714284 13 2824.169 0 0 0 0 1 0 0
14 28 113 114 116 4 4 9 873 1 13 29 2.230769230769231 2 0.0 1 0 0 0 0 0 0
14 30 41 39 55 234 161 7 0 0 7 8 1.1428571428571428 1 1568.656 0 0 0 0 0 1 0
